task_id,submit_time,first_start_time,completion_time,waiting_time,turnaround_time
0,1.0308043999005472,1004.4134617025754,1030.09275748085,1003.3826573026748,1029.0619530809495
1,17.16090302978995,1030.09275748085,1053.2397866423032,1012.93185445106,1036.0788836125132
2,17.63497658095787,1053.2397866423032,1075.0136826212308,1035.6048100613452,1057.3787060402728
3,26.70985919650503,1075.0136826212308,1097.557922380676,1048.3038234247258,1070.848063184171
4,38.50960175292384,1097.557922380676,1121.9228086645505,1059.0483206277522,1083.4132069116267
5,47.27788194034206,1121.9228086645505,1145.0114033396146,1074.6449267242085,1097.7335213992726
6,66.6062587383861,1145.0114033396146,1166.6894138033292,1078.4051446012286,1100.0831550649432
7,77.51057200557574,1166.6894138033292,1189.2437091047666,1089.1788417977534,1111.7331370991908
8,85.32915314434246,1189.2437091047666,1210.780691402664,1103.9145559604242,1125.4515382583215
9,86.73367523182813,1210.780691402664,1234.9785859758756,1124.0470161708358,1148.2449107440475
10,96.44769991151372,1234.9785859758756,1258.2744910890958,1138.5308860643618,1161.826791177582
11,112.85821489607045,1258.2744910890958,1281.5064664060972,1145.4162761930254,1168.6482515100267
12,121.35238557224693,1281.5064664060972,1303.1633808786771,1160.1540808338502,1181.8109953064302
13,134.1788984800834,1303.1633808786771,1327.001944559326,1168.9844823985936,1192.8230460792424
14,152.45581078047147,1327.001944559326,1348.8399551088712,1174.5461337788545,1196.3841443283998
15,169.18420124745268,1348.8399551088712,1370.5278167898557,1179.6557538614186,1201.343615542403
16,170.01528539736591,1370.5278167898557,1392.6595740492246,1200.5125313924898,1222.6442886518587
17,188.38591480892575,1392.6595740492246,1415.5847554380796,1204.273659240299,1227.198840629154
18,199.14584598828998,1415.5847554380796,1436.6323833639524,1216.4389094497897,1237.4865373756625
19,205.48342417186814,1436.6323833639524,1459.2453065092466,1231.1489591920842,1253.7618823373784
20,214.27749083315584,1459.2453065092466,1481.1911060984037,1244.9678156760908,1266.913615265248
21,217.91992011904145,1481.1911060984037,1502.5362022097013,1263.2711859793621,1284.6162820906598
22,223.6981624837174,1502.5362022097013,1523.5581691439054,1278.838039725984,1299.860006660188
23,237.50149333160297,1523.5581691439054,1547.8961994821927,1286.0566758123025,1310.3947061505899
24,243.47011901541433,1547.8961994821927,1570.126263635864,1304.4260804667783,1326.6561446204496
25,254.27066529911232,1570.126263635864,1591.770392673721,1315.8555983367517,1337.4997273746087
26,269.25526263454657,1591.770392673721,1614.4169485742948,1322.5151300391744,1345.1616859397482
