task_id,submit_time,first_start_time,completion_time,waiting_time,turnaround_time
0,35.40770989718752,2553.9975456463644,2579.676841424639,2518.589835749177,2544.2691315274515
1,80.24517912971976,2579.676841424639,2602.823870586092,2499.431662294919,2522.5786914563723
2,88.21541455699249,2602.823870586092,2624.59776656502,2514.6084560290997,2536.3823520080273
3,101.50699828658156,2624.59776656502,2647.142006324465,2523.090768278438,2545.6350080378834
4,114.0757402481264,2647.142006324465,2671.5068926083395,2533.0662660763387,2557.431152360213
5,128.22889289106104,2671.5068926083395,2694.5954872834036,2543.2779997172784,2566.3665943923424
6,140.50383600841784,2694.5954872834036,2716.273497747118,2554.091651274986,2575.7696617387005
7,150.51592927973223,2716.273497747118,2738.8277930485556,2565.757568467386,2588.3118637688235
8,159.55517744392378,2738.8277930485556,2760.364775346453,2579.272615604632,2600.8095979025293
9,206.1992359064288,2760.364775346453,2784.5626699196646,2554.165539440024,2578.3634340132357
10,229.51673453794302,2784.5626699196646,2807.858575032885,2555.0459353817214,2578.3418404949416
11,271.1134134961138,2807.858575032885,2831.090550349886,2536.745161536771,2559.977136853772
12,290.8583627914687,2831.090550349886,2852.747464822466,2540.2321875584175,2561.8891020309975
13,316.8354422820454,2852.747464822466,2876.586028503115,2535.912022540421,2559.7505862210696
14,341.0358352507064,2876.586028503115,2898.42403905266,2535.5501932524085,2557.3882038019538
15,358.52249925038564,2898.42403905266,2920.1119007336447,2539.901539802275,2561.5894014832593
16,398.44555721742614,2920.1119007336447,2942.2436579930136,2521.6663435162186,2543.7981007755875
17,426.8922378461113,2942.2436579930136,2965.1688393818686,2515.3514201469025,2538.2766015357574
18,442.8647991535595,2965.1688393818686,2986.2164673077414,2522.304040228309,2543.351668154182
19,457.52039463603836,2986.2164673077414,3008.8293904530356,2528.696072671703,2551.308995816997
20,492.78636558912774,3008.8293904530356,3030.7751900421927,2516.0430248639077,2537.988824453065
21,502.8315427580809,3030.7751900421927,3052.1202861534903,2527.9436472841116,2549.2887433954093
22,569.0987164138958,3052.1202861534903,3073.1422530876944,2483.0215697395943,2504.0435366737984
23,582.6991411102587,3073.1422530876944,3097.4802834259817,2490.443111977436,2514.781142315723
24,588.0259952227017,3097.4802834259817,3119.710347579653,2509.45428820328,2531.6843523569514
25,608.3177990547235,3119.710347579653,3141.35447661751,2511.392548524929,2533.0366775627863
26,617.8709657154869,3141.35447661751,3164.001032518084,2523.483510902023,2546.130066802597
27,648.5672624979737,3164.001032518084,3185.5367824303457,2515.43377002011,2536.969519932372
28,656.206182274259,3185.5367824303457,3206.7041162716696,2529.330600156087,2550.4979339974107
29,679.3435955264341,3206.7041162716696,3227.601725982363,2527.3605207452356,2548.258130455929
30,700.400401642563,3227.601725982363,3250.053792880709,2527.2013243398,2549.653391238146
31,732.3725999291605,3250.053792880709,3271.3427128063986,2517.6811929515484,2538.970112877238
32,759.551811224332,3271.3427128063986,3294.8517929779837,2511.7909015820665,2535.2999817536515
33,810.4998302272267,3294.8517929779837,3316.4675480591604,2484.351962750757,2505.967717831934
34,816.2998993918103,3316.4675480591604,3338.9161175953695,2500.16764866735,2522.616218203559
35,852.0013189877219,3338.9161175953695,3360.3881677853415,2486.9147986076478,2508.3868487976197
36,868.6657020803198,3360.3881677853415,3382.084888147051,2491.722465705022,2513.4191860667315
37,909.4684681133381,3382.084888147051,3404.7336341606924,2472.616420033713,2495.2651660473543
