task_id,submit_time,first_start_time,completion_time,waiting_time,turnaround_time
0,38.85870507875021,2362.682240618887,2388.3615363971617,2323.823535540137,2349.5028313184116
1,40.10283952280017,2388.3615363971617,2411.508565558615,2348.2586968743617,2371.405726035815
2,118.33273121591334,2411.508565558615,2433.2824615375425,2293.1758343427014,2314.949730321629
3,168.17900761569305,2433.2824615375425,2455.8267012969877,2265.1034539218495,2287.6476936812946
4,180.25231745647108,2455.8267012969877,2480.1915875808622,2275.5743838405165,2299.939270124391
5,184.66355933939354,2480.1915875808622,2503.2801822559263,2295.5280282414687,2318.616622916533
6,194.99191411949914,2503.2801822559263,2524.958192719641,2308.288268136427,2329.966278600142
7,216.1175021334656,2524.958192719641,2547.5124880210783,2308.8406905861752,2331.3949858876126
8,235.50398043259207,2547.5124880210783,2569.0494703189756,2312.0085075884863,2333.5454898863836
9,239.93973334263515,2569.0494703189756,2593.2473648921873,2329.1097369763406,2353.3076315495523
10,250.31933002975828,2593.2473648921873,2616.5432700054075,2342.928034862429,2366.223939975649
11,265.4347682328769,2616.5432700054075,2639.775245322409,2351.108501772531,2374.340477089532
12,329.49376449897863,2639.775245322409,2661.432159794989,2310.2814808234302,2331.93839529601
13,418.73092722109044,2661.432159794989,2685.2707234756376,2242.7012325738983,2266.539796254547
14,427.79223518255316,2685.2707234756376,2707.108734025183,2257.4784882930844,2279.3164988426297
15,457.88780367508105,2707.108734025183,2728.7965957061674,2249.2209303501018,2270.9087920310863
16,458.11382218833415,2728.7965957061674,2750.9283529655363,2270.682773517833,2292.814530777202
17,490.78398350583075,2750.9283529655363,2773.8535343543913,2260.1443694597056,2283.0695508485605
18,519.7762605768171,2773.8535343543913,2794.901162280264,2254.077273777574,2275.124901703447
19,533.6447800656485,2794.901162280264,2817.5140854255583,2261.2563822146158,2283.86930535991
20,555.5816823414505,2817.5140854255583,2839.4598850147154,2261.932403084108,2283.878202673265
21,600.4416352417278,2839.4598850147154,2860.804981126013,2239.0182497729875,2260.363345884285
22,630.405367177323,2860.804981126013,2881.826948060217,2230.39961394869,2251.421580882894
23,658.3522429487962,2881.826948060217,2906.1649783985044,2223.474705111421,2247.8127354497083
24,710.7395457058349,2906.1649783985044,2928.3950425521757,2195.4254326926693,2217.6554968463406
25,722.8602469141929,2928.3950425521757,2950.0391715900328,2205.534795637983,2227.17892467584
26,725.1786718468107,2950.0391715900328,2972.6857274906065,2224.860499743222,2247.507055643796
27,733.7717997850658,2972.6857274906065,2994.2214774028685,2238.9139277055406,2260.4496776178025
